iter	Passed	Remaining
0	7	1986
1	13	1873
2	20	1814
3	26	1792
4	31	1723
5	37	1679
6	43	1665
7	49	1664
8	55	1641
9	61	1619
10	67	1621
11	73	1619
12	79	1606
13	86	1615
14	92	1606
15	98	1600
16	104	1583
17	109	1567
18	116	1568
19	122	1560
20	128	1556
21	134	1549
22	140	1536
23	145	1526
24	152	1522
25	158	1517
26	166	1532
27	172	1520
28	177	1506
29	182	1494
30	188	1486
31	193	1470
32	199	1460
33	204	1448
34	210	1443
35	216	1437
36	223	1440
37	229	1428
38	234	1421
39	240	1411
40	246	1405
41	251	1397
42	257	1388
43	262	1378
44	268	1370
45	273	1363
46	279	1355
47	284	1345
48	289	1335
49	295	1327
50	300	1320
51	306	1313
52	312	1307
53	317	1298
54	322	1291
55	327	1282
56	333	1275
57	339	1269
58	346	1267
59	351	1259
60	356	1249
61	361	1241
62	366	1234
63	373	1232
64	378	1223
65	384	1216
66	389	1208
67	394	1201
68	400	1194
69	405	1187
70	411	1182
71	416	1174
72	421	1166
73	426	1159
74	433	1155
75	438	1148
76	444	1142
77	449	1135
78	456	1131
79	463	1130
80	468	1123
81	474	1115
82	479	1110
83	485	1104
84	491	1099
85	497	1092
86	503	1087
87	508	1080
88	513	1073
89	518	1066
90	525	1062
91	532	1058
92	538	1054
93	545	1049
94	550	1043
95	556	1038
96	564	1035
97	571	1032
98	577	1025
99	583	1020
100	591	1019
101	598	1015
102	605	1010
103	611	1004
104	617	1000
105	623	993
106	628	987
107	634	980
108	639	974
109	645	968
110	651	963
111	657	956
112	662	950
113	668	943
114	673	936
115	679	931
116	685	925
117	690	918
118	696	912
119	701	905
120	706	898
121	712	893
122	718	887
123	723	881
124	729	875
125	735	869
126	741	864
127	746	857
128	751	850
129	756	844
130	762	837
131	767	831
132	774	826
133	780	820
134	785	814
135	790	807
136	795	801
137	801	795
138	806	789
139	811	782
140	817	776
141	822	770
142	827	764
143	833	758
144	838	751
145	843	745
146	849	739
147	854	733
148	863	729
149	869	724
150	874	718
151	879	711
152	884	705
153	891	700
154	898	695
155	903	689
156	908	683
157	913	676
158	919	671
159	925	665
160	931	659
161	936	652
162	941	646
163	945	640
164	950	633
165	956	627
166	961	622
167	967	616
168	973	610
169	977	604
170	983	598
171	989	592
172	995	587
173	1000	580
174	1005	574
175	1009	568
176	1015	562
177	1020	555
178	1025	549
179	1031	544
180	1036	538
181	1041	532
182	1047	526
183	1052	520
184	1058	514
185	1065	509
186	1069	503
187	1076	498
188	1081	492
189	1087	486
190	1092	480
191	1097	474
192	1102	468
193	1108	462
194	1113	456
195	1119	451
196	1125	445
197	1130	439
198	1135	433
199	1140	427
200	1145	421
201	1151	416
202	1157	410
203	1163	404
204	1169	399
205	1174	393
206	1180	387
207	1185	381
208	1190	375
209	1195	370
210	1200	364
211	1206	358
212	1212	352
213	1219	347
214	1224	341
215	1230	336
216	1234	330
217	1240	324
218	1245	318
219	1251	312
220	1256	306
221	1261	301
222	1265	295
223	1270	289
224	1275	283
225	1281	277
226	1287	272
227	1292	266
228	1298	260
229	1303	254
230	1308	249
231	1313	243
232	1319	237
233	1324	232
234	1329	226
235	1334	220
236	1340	214
237	1346	209
238	1351	203
239	1356	197
240	1361	192
241	1367	186
242	1371	180
243	1377	175
244	1384	169
245	1389	163
246	1394	158
247	1400	152
248	1405	146
249	1416	141
250	1422	135
251	1428	130
252	1433	124
253	1439	119
254	1446	113
255	1452	107
256	1459	102
257	1465	96
258	1472	90
259	1480	85
260	1486	79
261	1491	74
262	1497	68
263	1506	62
264	1512	57
265	1521	51
266	1528	45
267	1536	40
268	1542	34
269	1549	28
270	1556	22
271	1564	17
272	1575	11
273	1583	5
274	1589	0
